grant_no,title,abstract,program_area,fiscal_year,amount_usd,awardee,org_unit,classification_band,batch_id,created_at
ONRD-2025-DEWX-00300,Advancing high-energy laser beam control to Improve counter-unmanned aerial system (C-UAS) engagement,"This effort develops high-energy laser beam control to address persistent beam quality-driven challenges in counter-unmanned aerial system (C-UAS) engagement. The performer will design, implement, and evaluate a prototype capability, validating performance against power density-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in duty cycle and a documented transition path informed by operational stakeholder feedback.",Directed Energy,2025,1454000,Pelican Robotics Corp.,Code-32,CUI-Mock,seed-initial-2026,2025-05-23T14:21:43+00:00
ONRD-2025-BIOT-00301,Advancing field-deployable diagnostic assay development to Improve cold-chain-free vaccine stabilization,"This effort develops field-deployable diagnostic assay development to address persistent field ruggedization-driven challenges in cold-chain-free vaccine stabilization. Research activities include algorithm development, synthetic biology pathway engineering integration, and iterative field evaluation to quantify gains in assay sensitivity. Expected outcomes include a measurable improvement in assay sensitivity and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is field ruggedization; the performer will mitigate this through early prototyping and government checkpoint reviews.",Biotech,2025,2881000,University of Highland,Code-30,CUI-Mock,seed-initial-2026,2025-07-28T14:57:15+00:00
ONRD-2025-BIOT-00302,Toward robust field-deployable diagnostic assay development: Implications for warfighter fatigue and readiness monitoring,This effort develops field-deployable diagnostic assay development to address persistent physiological baseline-driven challenges in warfighter fatigue and readiness monitoring. The team will conduct a phased study combining biomarker-based fatigue detection with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in biomarker specificity and a documented transition path informed by operational stakeholder feedback.,Biotech,2025,620000,Beacon Institute of Technology,Code-34,CUI-Mock,seed-initial-2026,2024-11-19T14:00:23+00:00
ONRD-2025-CYBR-00303,Supply-chain Firmware Attestation for Cross-domain Solution Assurance,"This effort develops supply-chain firmware attestation to address persistent lateral movement-driven challenges in cross-domain solution assurance. The performer will design, implement, and evaluate a prototype capability, validating performance against attack surface-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in false-positive rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include attack surface and constrained lateral movement, which will be tracked via quarterly milestone reviews.",Cyber,2025,127000,Vantage College of Engineering,Code-32,Public-Mock,seed-initial-2026,2025-06-27T14:02:34+00:00
ONRD-2025-CYBR-00304,Toward high-fidelity adversarial machine-learning defense: Implications for industrial-control-system (ICS) protection for propulsion systems,This effort develops adversarial machine-learning defense to address persistent cyber-physical resilience-driven challenges in industrial-control-system (ICS) protection for propulsion systems. The team will conduct a phased study combining anomaly-based intrusion detection with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in patch latency and a documented transition path informed by operational stakeholder feedback.,Cyber,2025,2250000,"Stonebridge Systems, Inc.",Code-30,CUI-Mock,seed-initial-2026,2024-10-06T08:05:25+00:00
ONRD-2025-AIML-00305,Advancing Bayesian uncertainty quantification to Improve command-and-control decision support,"This effort develops Bayesian uncertainty quantification to address persistent training-data scarcity-driven challenges in command-and-control decision support. Research activities include algorithm development, self-supervised representation learning integration, and iterative field evaluation to quantify gains in classification accuracy. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is latency; the performer will mitigate this through early prototyping and government checkpoint reviews.",AI/ML,2025,589000,Beacon Applied Research LLC,Code-34,CUI-Mock,seed-initial-2026,2025-09-29T14:54:21+00:00
ONRD-2025-MATL-00306,Field-Deployable Approaches to Battery Electrode Materials via High-entropy Alloy Design,"This effort develops high-entropy alloy design to address persistent fatigue life-driven challenges in battery electrode materials. The performer will design, implement, and evaluate a prototype capability, validating performance against specific strength-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback.",Materials,2025,907000,University of Northgate,Code-32,CUI-Mock,seed-initial-2026,2025-04-28T18:47:55+00:00
ONRD-2025-BIOT-00307,Advancing microbiome-based biofouling mitigation to Improve biofilm-resistant hull coatings,"This effort develops microbiome-based biofouling mitigation to address persistent biomarker specificity-driven challenges in biofilm-resistant hull coatings. Research activities include algorithm development, biomarker-based fatigue detection integration, and iterative field evaluation to quantify gains in diagnostic turnaround time. Expected outcomes include a measurable improvement in diagnostic turnaround time and a documented transition path informed by operational stakeholder feedback. Key technical risks include physiological baseline and constrained assay sensitivity, which will be tracked via quarterly milestone reviews.",Biotech,2025,713000,Duskwater Labs,Code-34,CUI-Mock,seed-initial-2026,2024-12-03T09:39:56+00:00
ONRD-2025-CYBR-00308,Toward resilient supply-chain firmware attestation: Implications for cross-domain solution assurance,This effort develops supply-chain firmware attestation to address persistent lateral movement-driven challenges in cross-domain solution assurance. The team will conduct a phased study combining adversarial machine-learning defense with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in false-positive rate and a documented transition path informed by operational stakeholder feedback.,Cyber,2025,630000,University of Granite,Code-30,CUI-Mock,seed-initial-2026,2025-09-02T13:27:13+00:00
ONRD-2025-BIOT-00309,Toward low-latency biomarker-based fatigue detection: Implications for cold-chain-free vaccine stabilization,"This effort develops biomarker-based fatigue detection to address persistent biomarker specificity-driven challenges in cold-chain-free vaccine stabilization. The performer will design, implement, and evaluate a prototype capability, validating performance against assay sensitivity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in assay sensitivity and a documented transition path informed by operational stakeholder feedback. Key technical risks include biomarker specificity and constrained field ruggedization, which will be tracked via quarterly milestone reviews.",Biotech,2025,715000,Silverline Polytechnic University,Code-32,CUI-Mock,seed-initial-2026,2025-07-28T13:56:30+00:00
ONRD-2025-AIML-00310,"Energy-Efficient Federated Learning for Intelligence, Surveillance, and Reconnaissance (ISR) Triage","This effort develops federated learning to address persistent edge deployment-driven challenges in intelligence, surveillance, and reconnaissance (ISR) triage. The team will conduct a phased study combining graph neural network reasoning with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in inference latency and a documented transition path informed by operational stakeholder feedback. Key technical risks include edge deployment and constrained training-data scarcity, which will be tracked via quarterly milestone reviews.",AI/ML,2025,161000,Beacon Polytechnic University,Code-32,CUI-Mock,seed-initial-2026,2025-08-31T11:01:11+00:00
ONRD-2025-MATL-00311,Phase I: Self-healing Polymer Synthesis for Battery Electrode Materials,This effort develops self-healing polymer synthesis to address persistent corrosion rate-driven challenges in battery electrode materials. The team will conduct a phased study combining corrosion-resistant coating development with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback.,Materials,2025,679000,Redshift Dynamics Corp.,Code-31,CUI-Mock,seed-initial-2026,2025-01-01T12:34:29+00:00
ONRD-2025-BIOT-00312,Toward high-fidelity biomarker-based fatigue detection: Implications for rapid diagnostic triage in austere environments,"This effort develops biomarker-based fatigue detection to address persistent physiological baseline-driven challenges in rapid diagnostic triage in austere environments. The performer will design, implement, and evaluate a prototype capability, validating performance against biomarker specificity-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in diagnostic turnaround time and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is assay sensitivity; the performer will mitigate this through early prototyping and government checkpoint reviews.",Biotech,2025,627000,Redshift Robotics Corp.,Code-30,CUI-Mock,seed-initial-2026,2025-05-12T08:34:41+00:00
ONRD-2025-AUTO-00313,Advancing cooperative multi-vehicle routing to Improve unmanned surface vessel (USV) picket lines,"This effort develops cooperative multi-vehicle routing to address persistent onboard compute limits-driven challenges in unmanned surface vessel (USV) picket lines. The performer will design, implement, and evaluate a prototype capability, validating performance against autonomy assurance-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in time-to-reroute and a documented transition path informed by operational stakeholder feedback.",Autonomy,2025,5112000,University of Bluewater,Code-30,CUI-Mock,seed-initial-2026,2025-02-14T12:55:44+00:00
ONRD-2025-QNTM-00314,Resilient Approaches to Precision Timing for Distributed Platforms via Quantum-secure Communications,"This effort develops quantum-secure communications to address persistent qubit fidelity-driven challenges in precision timing for distributed platforms. Research activities include algorithm development, trapped-ion qubit control integration, and iterative field evaluation to quantify gains in coherence time. Expected outcomes include a measurable improvement in coherence time and a documented transition path informed by operational stakeholder feedback.",Quantum,2025,87000,"Highland Systems, Inc.",ONR-Corporate,CUI-Mock,seed-initial-2026,2024-12-26T16:14:21+00:00
ONRD-2025-CYBR-00315,Zero-trust Network Architecture Design for Tactical Edge Cyber Resilience,This effort develops zero-trust network architecture design to address persistent attack surface-driven challenges in tactical edge cyber resilience. The team will conduct a phased study combining secure software-defined networking with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in mean time to detect and a documented transition path informed by operational stakeholder feedback.,Cyber,2025,353000,"Pelican Systems, Inc.",Code-30,CUI-Mock,seed-initial-2026,2024-10-23T16:59:25+00:00
ONRD-2025-USEA-00316,Phase I: Low-frequency Active Sonar Waveform Design for Seabed Mapping,"This effort develops low-frequency active sonar waveform design to address persistent bathymetric uncertainty-driven challenges in seabed mapping. Research activities include algorithm development, hydrodynamic hull-form optimization integration, and iterative field evaluation to quantify gains in detection range. Expected outcomes include a measurable improvement in detection range and a documented transition path informed by operational stakeholder feedback.",Undersea,2025,933000,Cobalt Applied Research LLC,Code-30,CUI-Mock,seed-initial-2026,2024-11-30T12:26:53+00:00
ONRD-2025-DEWX-00317,Advancing thermal management for solid-state lasers to Improve counter-unmanned aerial system (C-UAS) engagement,"This effort develops thermal management for solid-state lasers to address persistent beam quality-driven challenges in counter-unmanned aerial system (C-UAS) engagement. The performer will design, implement, and evaluate a prototype capability, validating performance against power density-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in beam quality factor and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is thermal blooming; the performer will mitigate this through early prototyping and government checkpoint reviews.",Directed Energy,2025,140000,"Copperline Systems, Inc.",Code-31,CUI-Mock,seed-initial-2026,2025-09-12T08:24:20+00:00
ONRD-2025-MATL-00318,Advancing corrosion-resistant coating development to Improve thermal-protection systems for hypersonic platforms,"This effort develops corrosion-resistant coating development to address persistent fatigue life-driven challenges in thermal-protection systems for hypersonic platforms. The performer will design, implement, and evaluate a prototype capability, validating performance against fracture toughness-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback. Key technical risks include corrosion rate and constrained specific strength, which will be tracked via quarterly milestone reviews.",Materials,2025,283000,University of Cinderpoint,Code-30,CUI-Mock,seed-initial-2026,2025-01-10T13:51:27+00:00
ONRD-2025-MATL-00319,Phase I: Composite Laminate Fatigue Characterization for Thermal-protection Systems for Hypersonic Platforms,This effort develops composite laminate fatigue characterization to address persistent fracture toughness-driven challenges in thermal-protection systems for hypersonic platforms. The team will conduct a phased study combining self-healing polymer synthesis with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback.,Materials,2025,113000,Beacon Advanced Systems Group,Code-32,CUI-Mock,seed-initial-2026,2024-12-03T14:41:00+00:00
ONRD-2025-QNTM-00320,Toward energy-efficient quantum key distribution protocol design: Implications for undersea navigation without GPS,"This effort develops quantum key distribution protocol design to address persistent decoherence-driven challenges in undersea navigation without GPS. The performer will design, implement, and evaluate a prototype capability, validating performance against entanglement distribution-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in sensor sensitivity and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is entanglement distribution; the performer will mitigate this through early prototyping and government checkpoint reviews.",Quantum,2025,241000,Farview Robotics Corp.,Code-35,CUI-Mock,seed-initial-2026,2024-10-31T07:52:01+00:00
ONRD-2025-BIOT-00321,Field-Deployable Field-deployable Diagnostic Assay Development for Rapid Diagnostic Triage in Austere Environments,This effort develops field-deployable diagnostic assay development to address persistent field ruggedization-driven challenges in rapid diagnostic triage in austere environments. The team will conduct a phased study combining synthetic biology pathway engineering with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in shelf stability and a documented transition path informed by operational stakeholder feedback.,Biotech,2025,566000,Halcyon Polytechnic University,Code-31,CUI-Mock,seed-initial-2026,2025-02-23T07:36:55+00:00
ONRD-2025-BIOT-00322,Next-Generation Approaches to Biofilm-resistant Hull Coatings via Human Performance Physiological Modeling,"This effort develops human performance physiological modeling to address persistent biomarker specificity-driven challenges in biofilm-resistant hull coatings. Research activities include algorithm development, synthetic biology pathway engineering integration, and iterative field evaluation to quantify gains in shelf stability. Expected outcomes include a measurable improvement in shelf stability and a documented transition path informed by operational stakeholder feedback. Key technical risks include biomarker specificity and constrained field ruggedization, which will be tracked via quarterly milestone reviews.",Biotech,2025,3208000,University of Cinderpoint,Code-30,CUI-Mock,seed-initial-2026,2025-05-27T16:37:48+00:00
ONRD-2025-MATL-00323,Phase I: Composite Laminate Fatigue Characterization for Hull Coating for Biofouling Resistance,"This effort develops composite laminate fatigue characterization to address persistent corrosion rate-driven challenges in hull coating for biofouling resistance. The performer will design, implement, and evaluate a prototype capability, validating performance against fracture toughness-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is fatigue life; the performer will mitigate this through early prototyping and government checkpoint reviews.",Materials,2025,5225000,University of Amberfield,Code-34,CUI-Mock,seed-initial-2026,2025-04-20T18:14:43+00:00
ONRD-2025-BIOT-00324,Phase II: Human Performance Physiological Modeling for Cold-chain-free Vaccine Stabilization,This effort develops human performance physiological modeling to address persistent physiological baseline-driven challenges in cold-chain-free vaccine stabilization. The team will conduct a phased study combining microbiome-based biofouling mitigation with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in shelf stability and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is biomarker specificity; the performer will mitigate this through early prototyping and government checkpoint reviews.,Biotech,2025,361000,Bluewater Advanced Systems Group,Code-32,CUI-Mock,seed-initial-2026,2024-10-27T10:22:03+00:00
ONRD-2025-CYBR-00325,Low-Latency Anomaly-based Intrusion Detection for Cross-domain Solution Assurance,"This effort develops anomaly-based intrusion detection to address persistent attack surface-driven challenges in cross-domain solution assurance. Research activities include algorithm development, supply-chain firmware attestation integration, and iterative field evaluation to quantify gains in false-positive rate. Expected outcomes include a measurable improvement in false-positive rate and a documented transition path informed by operational stakeholder feedback.",Cyber,2025,557000,University of Cinderpoint,Code-32,CUI-Mock,seed-initial-2026,2025-05-25T17:13:36+00:00
ONRD-2025-MATL-00326,Phase III: Composite Laminate Fatigue Characterization for Thermal-protection Systems for Hypersonic Platforms,"This effort develops composite laminate fatigue characterization to address persistent corrosion rate-driven challenges in thermal-protection systems for hypersonic platforms. Research activities include algorithm development, self-healing polymer synthesis integration, and iterative field evaluation to quantify gains in corrosion rate. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback.",Materials,2025,394000,Meridian Advanced Systems Group,Code-35,CUI-Mock,seed-initial-2026,2024-12-05T18:57:29+00:00
ONRD-2025-AUTO-00327,Field-Deployable Distributed Task Allocation for Contested-environment Navigation,This effort develops distributed task allocation to address persistent degraded communications-driven challenges in contested-environment navigation. The team will conduct a phased study combining swarm coordination algorithms with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in navigation drift and a documented transition path informed by operational stakeholder feedback.,Autonomy,2025,83000,Granite Defense Technologies,Code-31,CUI-Mock,seed-initial-2026,2024-10-15T11:08:38+00:00
ONRD-2025-BIOT-00328,Phase III: Microbiome-based Biofouling Mitigation for Biofilm-resistant Hull Coatings,This effort develops microbiome-based biofouling mitigation to address persistent field ruggedization-driven challenges in biofilm-resistant hull coatings. The team will conduct a phased study combining biomarker-based fatigue detection with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in biomarker specificity and a documented transition path informed by operational stakeholder feedback.,Biotech,2025,166000,University of Foxglove,Code-32,CUI-Mock,seed-initial-2026,2025-03-10T09:26:33+00:00
ONRD-2025-DEWX-00329,Scalable Approaches to Shipboard Self-defense Layers via Thermal Management for Solid-state Lasers,This effort develops thermal management for solid-state lasers to address persistent power density-driven challenges in shipboard self-defense layers. The team will conduct a phased study combining adaptive optics wavefront correction with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in time-on-target and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is duty-cycle limits; the performer will mitigate this through early prototyping and government checkpoint reviews.,Directed Energy,2025,7375000,University of Cobalt,Code-30,CUI-Mock,seed-initial-2026,2024-12-27T10:20:25+00:00
ONRD-2025-QNTM-00330,Low-Latency Trapped-ion Qubit Control for Undersea Navigation Without GPS,This effort develops trapped-ion qubit control to address persistent cryogenic control electronics-driven challenges in undersea navigation without GPS. The team will conduct a phased study combining photonic quantum sensing with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in qubit fidelity and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is cryogenic control electronics; the performer will mitigate this through early prototyping and government checkpoint reviews.,Quantum,2025,658000,Cobalt Institute of Technology,Code-35,CUI-Mock,seed-initial-2026,2025-09-05T13:16:18+00:00
ONRD-2025-AIML-00331,Phase II: Federated Learning for Predictive Maintenance for Shipboard Systems,"This effort develops federated learning to address persistent trust calibration-driven challenges in predictive maintenance for shipboard systems. Research activities include algorithm development, self-supervised representation learning integration, and iterative field evaluation to quantify gains in inference latency. Expected outcomes include a measurable improvement in inference latency and a documented transition path informed by operational stakeholder feedback.",AI/ML,2025,73000,University of Pelican,Code-31,CUI-Mock,seed-initial-2026,2025-01-25T15:56:33+00:00
ONRD-2025-MATL-00332,High-entropy Alloy Design for Thermal-protection Systems for Hypersonic Platforms,"This effort develops high-entropy alloy design to address persistent fatigue life-driven challenges in thermal-protection systems for hypersonic platforms. Research activities include algorithm development, corrosion-resistant coating development integration, and iterative field evaluation to quantify gains in fatigue life. Expected outcomes include a measurable improvement in fatigue life and a documented transition path informed by operational stakeholder feedback.",Materials,2025,199000,University of Driftwood,Code-35,CUI-Mock,seed-initial-2026,2025-07-16T17:58:35+00:00
ONRD-2026-CYBR-00333,Supply-chain Firmware Attestation for Industrial-control-system (ICS) Protection for Propulsion Systems,"This effort develops supply-chain firmware attestation to address persistent zero-day exposure-driven challenges in industrial-control-system (ICS) protection for propulsion systems. Research activities include algorithm development, adversarial machine-learning defense integration, and iterative field evaluation to quantify gains in mean time to detect. Expected outcomes include a measurable improvement in mean time to detect and a documented transition path informed by operational stakeholder feedback.",Cyber,2026,336000,Sable Applied Research LLC,Code-32,CUI-Mock,seed-initial-2026,2026-02-04T11:52:29+00:00
ONRD-2026-AUTO-00334,Phase III: Onboard Perception-to-action Pipelines for Group Unmanned Aerial System (UAS) Reconnaissance,"This effort develops onboard perception-to-action pipelines to address persistent onboard compute limits-driven challenges in group unmanned aerial system (UAS) reconnaissance. The performer will design, implement, and evaluate a prototype capability, validating performance against autonomy assurance-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in navigation drift and a documented transition path informed by operational stakeholder feedback.",Autonomy,2026,243000,Cinderpoint Institute of Technology,Code-32,CUI-Mock,seed-initial-2026,2026-09-10T08:12:27+00:00
ONRD-2026-MATL-00335,Composite Laminate Fatigue Characterization for Hull Coating for Biofouling Resistance,"This effort develops composite laminate fatigue characterization to address persistent specific strength-driven challenges in hull coating for biofouling resistance. Research activities include algorithm development, self-healing polymer synthesis integration, and iterative field evaluation to quantify gains in corrosion rate. Expected outcomes include a measurable improvement in corrosion rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include fatigue life and constrained specific strength, which will be tracked via quarterly milestone reviews.",Materials,2026,517000,"Pelican Systems, Inc.",Code-30,CUI-Mock,seed-initial-2026,2026-02-03T13:53:53+00:00
ONRD-2026-AIML-00336,"Advancing graph neural network reasoning to Improve intelligence, surveillance, and reconnaissance (ISR) triage","This effort develops graph neural network reasoning to address persistent trust calibration-driven challenges in intelligence, surveillance, and reconnaissance (ISR) triage. Research activities include algorithm development, multi-agent reinforcement learning integration, and iterative field evaluation to quantify gains in classification accuracy. Expected outcomes include a measurable improvement in classification accuracy and a documented transition path informed by operational stakeholder feedback.",AI/ML,2026,2551000,Anchor Applied Research LLC,Code-31,CUI-Mock,seed-initial-2026,2026-03-25T09:56:24+00:00
ONRD-2026-AIML-00337,Adaptive Federated Learning for Predictive Maintenance for Shipboard Systems,"This effort develops federated learning to address persistent trust calibration-driven challenges in predictive maintenance for shipboard systems. The performer will design, implement, and evaluate a prototype capability, validating performance against model drift-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in false-alarm rate and a documented transition path informed by operational stakeholder feedback.",AI/ML,2026,2650000,Anchor Labs,Code-34,CUI-Mock,seed-initial-2026,2025-10-25T12:18:14+00:00
ONRD-2026-AUTO-00338,Modular Approaches to GPS-denied Waypoint Following via Behavior-tree Mission Planning,"This effort develops behavior-tree mission planning to address persistent onboard compute limits-driven challenges in GPS-denied waypoint following. The team will conduct a phased study combining swarm coordination algorithms with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in navigation drift and a documented transition path informed by operational stakeholder feedback. Key technical risks include swarm resilience and constrained degraded communications, which will be tracked via quarterly milestone reviews.",Autonomy,2026,2029000,Sable College of Engineering,Code-30,CUI-Mock,seed-initial-2026,2026-06-14T08:50:45+00:00
ONRD-2026-AUTO-00339,Phase II: Distributed Task Allocation for Autonomous Convoy Escort,"This effort develops distributed task allocation to address persistent degraded communications-driven challenges in autonomous convoy escort. Research activities include algorithm development, onboard perception-to-action pipelines integration, and iterative field evaluation to quantify gains in time-to-reroute. Expected outcomes include a measurable improvement in time-to-reroute and a documented transition path informed by operational stakeholder feedback.",Autonomy,2026,178000,Cinderpoint College of Engineering,Code-34,CUI-Mock,seed-initial-2026,2026-05-23T16:09:48+00:00
ONRD-2026-CYBR-00340,Advancing supply-chain firmware attestation to Improve industrial-control-system (ICS) protection for propulsion systems,"This effort develops supply-chain firmware attestation to address persistent lateral movement-driven challenges in industrial-control-system (ICS) protection for propulsion systems. Research activities include algorithm development, adversarial machine-learning defense integration, and iterative field evaluation to quantify gains in mean time to detect. Expected outcomes include a measurable improvement in mean time to detect and a documented transition path informed by operational stakeholder feedback. Key technical risks include lateral movement and constrained attack surface, which will be tracked via quarterly milestone reviews.",Cyber,2026,52000,"Cinderpoint Systems, Inc.",Code-34,CUI-Mock,seed-initial-2026,2025-10-24T09:25:15+00:00
ONRD-2026-CYBR-00341,Toward scalable zero-trust network architecture design: Implications for cross-domain solution assurance,"This effort develops zero-trust network architecture design to address persistent cyber-physical resilience-driven challenges in cross-domain solution assurance. The performer will design, implement, and evaluate a prototype capability, validating performance against lateral movement-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in patch latency and a documented transition path informed by operational stakeholder feedback. Key technical risks include cyber-physical resilience and constrained lateral movement, which will be tracked via quarterly milestone reviews.",Cyber,2026,996000,Stonebridge Analytics Inc.,ONR-Corporate,CUI-Mock,seed-initial-2026,2026-09-14T07:14:36+00:00
ONRD-2026-QNTM-00342,Quantum-secure Communications for Precision Timing for Distributed Platforms,"This effort develops quantum-secure communications to address persistent decoherence-driven challenges in precision timing for distributed platforms. The performer will design, implement, and evaluate a prototype capability, validating performance against cryogenic control electronics-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in qubit fidelity and a documented transition path informed by operational stakeholder feedback.",Quantum,2026,181000,Bluewater College of Engineering,Code-31,CUI-Mock,seed-initial-2026,2026-08-28T08:12:07+00:00
ONRD-2026-USEA-00343,Toward adaptive autonomous underwater vehicle (AUV) navigation: Implications for seabed mapping,"This effort develops autonomous underwater vehicle (AUV) navigation to address persistent bathymetric uncertainty-driven challenges in seabed mapping. The team will conduct a phased study combining hydrodynamic hull-form optimization with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in signal-to-noise ratio and a documented transition path informed by operational stakeholder feedback. Key technical risks include depth-rated housings and constrained acoustic signature reduction, which will be tracked via quarterly milestone reviews.",Undersea,2026,354000,Ironclad Dynamics Corp.,Code-31,CUI-Mock,seed-initial-2026,2026-02-16T15:51:17+00:00
ONRD-2026-DEWX-00344,Toward adaptive pulsed-power system integration: Implications for counter-unmanned aerial system (C-UAS) engagement,"This effort develops pulsed-power system integration to address persistent thermal blooming-driven challenges in counter-unmanned aerial system (C-UAS) engagement. Research activities include algorithm development, thermal management for solid-state lasers integration, and iterative field evaluation to quantify gains in time-on-target. Expected outcomes include a measurable improvement in time-on-target and a documented transition path informed by operational stakeholder feedback. A principal risk to schedule is duty-cycle limits; the performer will mitigate this through early prototyping and government checkpoint reviews.",Directed Energy,2026,1273000,Sable Advanced Systems Group,Code-30,CUI-Mock,seed-initial-2026,2026-02-04T08:01:48+00:00
ONRD-2026-AUTO-00345,Toward next-generation onboard perception-to-action pipelines: Implications for autonomous convoy escort,"This effort develops onboard perception-to-action pipelines to address persistent swarm resilience-driven challenges in autonomous convoy escort. Research activities include algorithm development, model-predictive control integration, and iterative field evaluation to quantify gains in mission completion rate. Expected outcomes include a measurable improvement in mission completion rate and a documented transition path informed by operational stakeholder feedback.",Autonomy,2026,280000,University of Wraith,Code-34,CUI-Mock,seed-initial-2026,2026-07-07T15:31:19+00:00
ONRD-2026-CYBR-00346,Adversarial Machine-learning Defense for Tactical Edge Cyber Resilience,"This effort develops adversarial machine-learning defense to address persistent attack surface-driven challenges in tactical edge cyber resilience. Research activities include algorithm development, supply-chain firmware attestation integration, and iterative field evaluation to quantify gains in patch latency. Expected outcomes include a measurable improvement in patch latency and a documented transition path informed by operational stakeholder feedback.",Cyber,2026,153000,Farview State University,Code-34,CUI-Mock,seed-initial-2026,2025-10-30T16:15:49+00:00
ONRD-2026-BIOT-00347,Scalable Microbiome-based Biofouling Mitigation for Biofilm-resistant Hull Coatings,"This effort develops microbiome-based biofouling mitigation to address persistent biomarker specificity-driven challenges in biofilm-resistant hull coatings. The performer will design, implement, and evaluate a prototype capability, validating performance against physiological baseline-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in shelf stability and a documented transition path informed by operational stakeholder feedback.",Biotech,2026,2326000,Redshift Polytechnic University,Code-35,CUI-Mock,seed-initial-2026,2026-05-21T17:22:10+00:00
ONRD-2026-CYBR-00348,Energy-Efficient Approaches to Tactical Edge Cyber Resilience via Adversarial Machine-learning Defense,"This effort develops adversarial machine-learning defense to address persistent lateral movement-driven challenges in tactical edge cyber resilience. The performer will design, implement, and evaluate a prototype capability, validating performance against cyber-physical resilience-related benchmarks under realistic operational conditions. Expected outcomes include a measurable improvement in false-positive rate and a documented transition path informed by operational stakeholder feedback. Key technical risks include attack surface and constrained cyber-physical resilience, which will be tracked via quarterly milestone reviews.",Cyber,2026,175000,University of Windrose,ONR-Corporate,CUI-Mock,seed-initial-2026,2026-08-21T13:47:30+00:00
ONRD-2026-MATL-00349,Phase I: Self-healing Polymer Synthesis for Battery Electrode Materials,This effort develops self-healing polymer synthesis to address persistent fatigue life-driven challenges in battery electrode materials. The team will conduct a phased study combining additive manufacturing process qualification with legacy system integration to reduce risk prior to a transition decision. Expected outcomes include a measurable improvement in specific strength and a documented transition path informed by operational stakeholder feedback.,Materials,2026,5133000,Cascade Labs,Code-32,CUI-Mock,seed-initial-2026,2026-03-06T15:43:58+00:00
